Isian,Jarak,Sudut Elevasi,Waktu Lintas
0,100,83° 35',13.5
0,150,80° 13',13.4
0,200,76° 47',13.2
0,250,73° 07',13.0
0,300,69° 04',12.7
0,350,64° 28',12.2
0,400,58° 37',11.6
0,450,45° 00',9.6
1,200,82° 45',18.2
1,250,80° 53',18.1
1,300,78° 58',18.0
1,350,77° 00',17.8
1,400,74° 59',17.7
1,450,72° 54',17.5
1,500,70° 39',17.3
1,550,68° 17',17.0
1,600,65° 42',16.7
1,650,62° 50',16.3
1,700,59° 27',15.8
1,750,55° 11',15.0
1,800,45° 00',13.0
2,300,83° 32',23.7
2,350,82° 28',23.6
2,400,81° 20',23.5
2,450,80° 13',23.5
2,500,79° 05',23.5
2,550,77° 54',23.5
2,600,76° 43',23.4
2,650,75° 33',23.3
2,700,74° 18',23.2
2,750,73° 01',23.1
2,800,71° 43',23.0
2,850,70° 22',22.9
2,900,68° 58',22.8
2,950,67° 30',22.6
2,1000,65° 59',22.5
2,1050,64° 18',22.1
2,1100,62° 33',21.9
2,1150,60° 35',21.7
2,1200,58° 23',21.0
2,1250,55° 48',20.1
2,1300,52° 22',18.9
2,1350,45° 00',16.9
3,600,83° 18',33.5
3,700,82° 11',33.5
3,800,81° 03',33.3
3,900,79° 52',33.2
3,1000,78° 42',33.1
3,1100,77° 31',33.0
3,1200,76° 16',32.8
3,1300,75° 02',32.6
3,1400,73° 45',32.4
3,1500,72° 24',32.2
3,1600,71° 03',32.0
3,1700,69° 35',31.7
3,1800,68° 07',31.4
3,1900,66° 33',31.0
3,2000,64° 51',30.6
3,2100,63° 07',30.2
3,2200,61° 09',29.6
3,2300,58° 57',29.0
3,2400,56° 22',28.2
3,2500,53° 03',27.1
3,2600,46° 07',24.5
4,1900,74° 32',39.1
4,2000,73° 38',39.0
4,2100,72° 40',38.9
4,2200,71° 43',38.8
4,2300,70° 46',38.7
4,2400,69° 45',38.6
4,2500,68° 44',38.5
4,2600,67° 40',38.4
4,2700,66° 33',38.1
4,2800,65° 22',38.0
4,2900,64° 11',37.9
4,3000,62° 53',37.6
4,3100,61° 29',37.2
4,3200,60° 01',36.9
4,3300,58° 23',36.4
4,3400,56° 35',35.2
4,3500,54° 24',34.4
4,3600,51° 35',33.2
4,3700,46° 07',31.2
5,2400,74° 12',44.5
5,2500,73° 28',44.4
5,2600,72° 47',44.3
5,2700,72° 03',44.2
5,2800,71° 16',44.1
5,2900,70° 32',44.0
5,3000,69° 45',43.9
5,3100,68° 58',43.8
5,3200,68° 07',43.7
5,3300,67° 16',43.6
5,3400,66° 26',43.5
5,3500,65° 32',43.4
5,3600,64° 34',43.1
5,3700,63° 37',42.8
5,3800,62° 36',42.4
5,3900,61° 32',42.0
5,4000,60° 21',41.8
5,4100,59° 10',41.2
5,4200,57° 49',41.0
5,4300,56° 22',40.2
5,4400,54° 40',39.1
5,4500,52° 42',38.8
5,4600,49° 57',37.6
5,4700,46° 07',35.8
6,3500,69° 48',49.0
6,3600,69° 08',48.6
6,3700,68° 27',48.4
6,3800,67° 43',48.1
6,3900,67° 03',48.0
6,4000,66° 19',47.8
6,4100,65° 32',47.5
6,4200,64° 48',47.4
6,4300,63° 57',47.1
6,4400,63° 07',46.8
6,4500,62° 16',46.4
6,4600,61° 66',46.0
6,4700,60° 25',45.7
6,4800,59° 24',45.3
6,4900,58° 20',45.0
6,5000,57° 09',44.5
6,5100,55° 51',44.0
6,5200,54° 27',43.6
6,5300,52° 42',42.9
6,5400,50° 31',42.2
6,5500,47° 59',41.5
6,5600,45° 00',40.5
7,3900,69° 55',53.0
7,4000,69° 21',52.9
7,4100,68° 44',52.8
7,4200,68° 07',52.7
7,4300,67° 30',52.5
7,4400,66° 49',52.3
7,4500,66° 12',52.1
7,4600,65° 32',51.8
7,4700,64° 48',51.2
7,4800,64° 04',50.7
7,4900,63° 20',50.6
7,5000,62° 36',50.2
7,5100,61° 46',49.6
7,5200,60° 58',49.2
7,5300,60° 04',49.0
7,5400,59° 10',48.8
7,5500,58° 10',48.3
7,5600,57° 09',48.0
7,5700,55° 58',47.8
7,5800,54° 40',47.4
7,5900,53° 13',46.6
7,6000,51° 28',46.2
7,6100,49° 30',45.1
7,6200,47° 25',44.1
7,6300,45° 00',42.8
8,4500,68° 07',53.2
8,4600,67° 30',53.0
8,4700,66° 49',52.8
8,4800,66° 12',52.6
8,4900,65° 32',52.3
8,5000,64° 51',52.1
8,5100,64° 11',51.8
8,5200,63° 27',51.5
8,5300,62° 40',51.1
8,5400,61° 56',50.8
8,5500,61° 05',50.4
8,5600,60° 15',50.0
8,5700,59° 21',49.6
8,5800,58° 27',49.1
8,5900,57° 26',48.6
8,6000,56° 18',48.0
8,6100,55° 07',47.4
8,6200,53° 43',46.6
8,6300,52° 09',45.7
8,6400,50° 00',44.5
8,6500,45° 00',41.1
